title,director,country,spine,url,img,year,aspect_ratio,color,description,dir_link,duration,lang,country_code,continent,ar
The 400 Blows,François Truffaut,France,5,https://www.criterion.com/films/151-the-400-blows,https://s3.amazonaws.com/criterion-production/films/6419fdfbf3442b70b449e2780ae6ac04/Jli0DzbsLXV9c4V1sPirW4n2Lw5FR8_thumbnail.jpg,1984,2.35:1,Black & White,"François Truffaut’s first feature is also his most personal. Told from the point of view of Truffaut’s cinematic counterpart, Antoine Doinel (Jean-Pierre Léaud), The 400 Blows (Les quatre cents coups) sensitively re-creates the trials of Truffaut’s own childhood, unsentimentally portraying aloof parents, oppressive teachers, and petty crime. The film marked Truffaut’s passage from leading critic to trailblazing auteur of the French New Wave.",/shop/browse?director=truffaut-francois,99,French,FR,Europe,2.35
1984,Michael Radford,United Kingdom,984,https://www.criterion.com/films/29140-1984,https://s3.amazonaws.com/criterion-production/films/9b263f6358cf0bae18244c759d4592f0/BonyZ4taymxrfBiRqY6K42NBh0jsop_thumbnail.jpg,1951,1.85:1,Color,"This masterly adaptation of George Orwell’s chilling parable about totalitarian oppression gives harrowing cinematic expression to the book’s prophetic dystopia. In a rubble-strewn surveillance state where an endless overseas war props up the repressive regime of the all-seeing Big Brother, and all dissent is promptly squashed, a profoundly alienated citizen, Winston Smith (thrillingly played by John Hurt), risks everything for an illicit affair with the rebellious Julia (Suzanna Hamilton), defiantly asserting his humanity in the face of soul-crushing conformity. Through vividly grim production design and expressionistically desaturated cinematography by Roger Deakins, Michael Radford’s 1984 conjures a bleak vision of postwar Britain as fascistic nightmare—a world all too recognizable as our own.",/shop/browse?director=radford-michael,110,English,GB,Europe,1.85
Ace in the Hole,Billy Wilder,United States,396,https://www.criterion.com/films/829-ace-in-the-hole,https://s3.amazonaws.com/criterion-production/films/2fe2ca53e58aeac665d09fae9748347f/3oBi9k9iUQzTspeg9nyJiO6UF2bPLA_thumbnail.jpg,1963,1.33:1,Black & White,"Billy Wilder’s Ace in the Hole is one of the most scathing indictments of American culture ever produced by a Hollywood filmmaker. Kirk Douglas gives the fiercest performance of his career as Chuck Tatum, an amoral newspaper reporter who washes up in dead-end Albuquerque, happens upon the scoop of a lifetime, and will do anything to keep getting the lurid headlines. Wilder’s follow-up to Sunset Boulevard is an even darker vision, a no-holds-barred exposé of the American media’s appetite for sensation that has gotten only more relevant with time.",/shop/browse?director=wilder-billy,111,English,US,North America,1.33
An Actor’s Revenge,Kon Ichikawa,Japan,912,https://www.criterion.com/films/28899-an-actor-s-revenge,https://s3.amazonaws.com/criterion-production/films/4b189bbc4839b45ecfee6d8546d303e6/KaW2t9UP1dYbpFxJDSlXEbSApZ8SaV_thumbnail.jpg,,2.39:1,Color,"A uniquely prolific and chameleonic figure of world cinema, Kon Ichikawa delivered a burst of stylistic bravado with this intricate tale of betrayal and retribution. Set in the cloistered world of nineteenth-century kabuki theater, the film charts a female impersonator’s attempts to avenge the deaths of his parents, who were driven to insanity and suicide by a trio of corrupt men. Ichikawa takes the conventions of melodrama and turns them on their head, bringing the hero’s fractured psyche to life in boldly experimental widescreen compositions infused with kaleidoscopic color, pop-art influences, and meticulous choreography. Anchored by a magnificently androgynous performance by Kazuo Hasegawa, reprising a role he had played on-screen three decades earlier, An Actor’s Revenge is an eye-popping examination of how the illusions of art intersect with life.",/shop/browse?director=ichikawa-kon,113,Japanese,JP,Asia,2.39
Adventures of Zatoichi,Kimiyoshi Yasuda,Japan,,https://www.criterion.com/films/28308-adventures-of-zatoichi,https://s3.amazonaws.com/criterion-production/films/c5ea12e9c68aa70a39d68b54ce945433/o0lBuGTV4QK4mfcnFLXe8Vxq7EzMrW_thumbnail.jpg,1984,2.35:1,Color,"The blind swordsman wanders into a town to celebrate the New Year. There, he befriends a young woman whose father has gone missing; as he tries to help her find him, he becomes entangled in a web of corruption and a series of tragic twists of fate. Returning director Kimiyoshi Yasuda and screenwriter Shozaburo Asai masterfully weave together a variety of narrative threads and tonal registers, all while playfully tweaking the conventions and motifs of the series.",/shop/browse?director=yasuda-kimiyoshi,86,Japanese,JP,Asia,2.35
After the Rehearsal,Ingmar Bergman,Sweden,,https://www.criterion.com/films/27963-after-the-rehearsal,https://s3.amazonaws.com/criterion-production/films/ba2e4386c467bee0792f5983b863c052/1OBWg7ISTCDz63d0iB8f4IbOn2afEj_thumbnail.jpg,1993,1.66:1,72 minutes,"With this spare chamber piece, set in an empty theater, Ingmar Bergman returned to his perennial theme of the permeability of life and art. Lingering after a rehearsal for August Strindberg’s A Dream Play (a touchstone for the filmmaker throughout his career), eminent director Henrik (Erland Josephson) enters into a frank and flirtatious conversation with his up-and-coming star, Anna (Lena Olin), leading him to recall his affair with Anna’s late mother, the self-destructive actress Rakel (Ingrid Thulin). The sharply written and impeccably performed After the Rehearsal, originally made for television, pares away all artifice to examine both the allure and the cost of a life in the theater.",/shop/browse?director=bergman-ingmar,72,Swedish,SE,Europe,1.66
The Age of Innocence,Martin Scorsese,United States,913,https://www.criterion.com/films/28834-the-age-of-innocence,https://s3.amazonaws.com/criterion-production/films/23b95546eb76fe0bd9c69678c5130f60/Gicsoj0cO0g4i7a78Otic6zVhZKTv7_thumbnail.jpg,1973,2.40:1,Color,"No filmmaker captures the grandeur and energy of New York like Martin Scorsese. With this sumptuous romance, he meticulously adapted the work of another great New York artist, Edith Wharton, bringing to life her tragic novel set in the cloistered world of Gilded Age Manhattan. The Age of Innocence tells the story of Newland Archer (Daniel Day-Lewis), whose engagement to an innocent socialite (Winona Ryder) binds him to the codes and rituals of his upbringing. But when her cousin (Michelle Pfeiffer) arrives in town on a wave of scandal after separating from her husband, she ignites passions in Newland he never knew existed. Swelling with exquisite period detail, this film is an alternately heartbreaking and satirical look at the brutality of old-world America.",/shop/browse?director=scorsese-martin,138,English,US,North America,2.4
The Age of the Medici,Roberto Rossellini,Italy,,https://www.criterion.com/films/1025-the-age-of-the-medici,https://s3.amazonaws.com/criterion-production/films/8d5277524c0145b565ff66601d48b63c/i5ub3rQJ4TLqUmnDRf2RPPct4Pt4oZ_thumbnail.jpg,,1.33:1,Color,"Roberto Rossellini’s three-part The Age of the Medici is like a Renaissance painting come to life: a portrait of fifteenth-century Florence, ruled by the Medici political dynasty. With a lovely score from composer Manuel de Sica (son of Vittorio), this grand yet intimate work is a storybook conjuring of a way of life and thought.",/shop/browse?director=rossellini-roberto,255,Italian,IT,Europe,1.33
Akira Kurosawa’s Dreams,Akira Kurosawa,Japan,842,https://www.criterion.com/films/28700-akira-kurosawa-s-dreams,https://s3.amazonaws.com/criterion-production/films/e9fc8a91b2f9ebe10efb6edde367dffe/LRIg86I1YijdtiaQ7G1aWN6USnhprt_thumbnail.jpg,1977,1.85:1,Color,"Unfolding in a series of eight mythic vignettes, this late work by Akira Kurosawa was inspired by the beloved director’s own nighttime visions, along with stories from Japanese folklore. In a visually sumptuous journey through the master’s imagination, tales of childlike wonder give way to apocalyptic apparitions: a young boy stumbles on a fox wedding in a forest; a soldier confronts the ghosts of the war dead; a power plant meltdown smothers a seaside landscape in radioactive fumes. Interspersed with reflections on the redemptive power of creation, including a richly textured tribute to Vincent van Gogh (who is played by Martin Scorsese), Akira Kurosawa’s Dreams is both a showcase for its maker’s artistry at its most unbridled and a deeply personal lament for a world at the mercy of human ignorance.",/shop/browse?director=kurosawa-akira,120,Japanese,JP,Asia,1.85
¡Alambrista!,Robert M. Young,United States,609,https://www.criterion.com/films/28101--alambrista,https://s3.amazonaws.com/criterion-production/films/0491f97086109447ae043dd560ab1deb/yN0HxZOaIlmehJUNzXjOrTZoTSNtdp_thumbnail.jpg,1938,1.66:1,Color,"In ¡Alambrista!, a Mexican farmworker sneaks across the border to California to make money to send to his family back home. It is a story that happens every day, told here in an uncompromising, groundbreaking work of realism from American independent filmmaker Robert M. Young. Vivid and spare where other films about illegal immigration might sentimentalize, Young’s take is equal parts intimate character study and gripping road movie, a political work that never loses sight of the complex man at its center. ¡Alambrista!, winner of the Cannes Film Festival’s inaugural Caméra d’Or in 1978, remains one of the best films ever made on this perennially relevant topic.",/shop/browse?director=young-robert,96,"English,                                          Spanish",US,North America,1.66
Alexander Nevsky,Sergei Eisenstein,Russia,87,https://www.criterion.com/films/341-alexander-nevsky,https://s3.amazonaws.com/criterion-production/films/19c902a73e243b9293de4c717430f639/H1rWEdJtowN7Xh9vSnOvPU9I6y0AgT_thumbnail.jpg,1974,1.33:1,Black & White,"Eisenstein drew on history, Russian folk narratives, and the techniques of Walt Disney to create this broadly painted epic of Russian resilience. This story of Teutonic knights vanquished by Prince Alexander Nevsky’s tactical brilliance resonated deeply with a Soviet Union concerned with the rise of Nazi Germany. Widely imitated—most notably by Laurence Olivier's Battle of Agincourt re-creation for Henry V—the Battle on the Ice scene remains one of the most famous audio-visual experiments in film history, perfectly blending action with the rousing score of Sergei Prokofiev.",/shop/browse?director=eisenstein-sergei,112,Russian,RU,Europe,1.33
Alice in the Cities,Wim Wenders,Germany,814,https://www.criterion.com/films/27717-alice-in-the-cities,https://s3.amazonaws.com/criterion-production/films/4c937e1a2f214fa64d62211753e5f492/k2GNCMB1LPMtr7Dlh3PdIo9jHUFxD1_thumbnail.jpg,1974,1.66:1,Black & White,"The first of the road films that would come to define the career of Wim Wenders, the magnificent Alice in the Cities is an emotionally generous and luminously shot odyssey. A German journalist (Rüdiger Vogler) is driving across the United States to research an article; it’s a disappointing trip, in which he is unable to truly connect with what he sees. Things change, however, when he has no choice but to take a young girl named Alice (Yella Rottländer) with him on his return trip to Germany, after her mother (Lisa Kreuzer)—whom he has just met—leaves the child in his care. Though they initially find themselves at odds, the pair begin to form an unlikely friendship.",/shop/browse?director=wenders-wim,113,German,DE,Europe,1.66
Ali: Fear Eats the Soul,Rainer Werner Fassbinder,Germany,198,https://www.criterion.com/films/152-ali-fear-eats-the-soul,https://s3.amazonaws.com/criterion-production/films/7dd41aeeab0ce784854db5756730e849/rp77a94J13Y9gB1nMxqiZ85R5UCaSb_thumbnail.jpg,1962,1.37:1,Color,"The wildly prolific German filmmaker Rainer Werner Fassbinder paid homage to his cinematic hero Douglas Sirk with this update of that filmmaker’s 1955 All That Heaven Allows. A lonely widow (Brigitte Mira) meets a much younger Arab worker (El Hedi ben Salem) in a bar during a rainstorm. They fall in love, to their own surprise—and to the outright shock of their families, colleagues, and drinking buddies. In Ali: Fear Eats the Soul, Fassbinder expertly wields the emotional power of classic Hollywood melodrama to expose the racial tensions underlying contemporary German culture.",/shop/browse?director=fassbinder-rainer-werner,93,German,DE,Europe,1.37
All Night Long,Basil Dearden,United Kingdom,,https://www.criterion.com/films/27539-all-night-long,https://s3.amazonaws.com/criterion-production/films/206d3612870ac05bf88bcc8d2e8d3059/YPoWZODoEbomhN3cOhg16jqR1n0sMC_thumbnail.jpg,1955,1.66:1,Black & White,"Othello is translated to the world of sixties London jazz clubs in Basil Dearden’s smoky and sensational All Night Long.  Over the course of one eventful evening, the anniversary celebration of the musical and romantic partners Aurelius Rex (Paul Harris) and Delia Lane (Marti Stevens), a jealous, ambitious drummer, Johnny Cousin (Patrick McGoohan), attempts to tear the interracial couple apart. This daring psychodrama also features on-screen appearances by jazz legends Charles Mingus, Dave Brubeck, Tubby Hayes, and Johnny Dankworth.",/shop/browse?director=dearden-basil,91,English,GB,Europe,1.66
All That Heaven Allows,Douglas Sirk,United States,95,https://www.criterion.com/films/635-all-that-heaven-allows,https://s3.amazonaws.com/criterion-production/films/ef45f7fd0ccef1e881abc80c6b24ff60/GgZDqyYrxCYlRn5FxwXi15SB4qyUTU_thumbnail.jpg,1979,1.75:1,Color,"This heartbreakingly beautiful indictment of 1950s American mores by Douglas Sirk follows the blossoming love between a well-off widow (Jane Wyman) and her handsome and earthy younger gardener (Rock Hudson). When their romance prompts the scorn of her children and country club friends, she must decide whether to pursue her own happiness or carry on a lonely, hemmed-in existence for the sake of the approval of others. With the help of ace cinematographer Russell Metty, Sirk imbues nearly every shot with a vivid and distinct emotional tenor. A profoundly felt film about class and conformity in small-town America, All That Heaven Allows is a pinnacle of expressionistic Hollywood melodrama.",/shop/browse?director=sirk-douglas,89,English,US,North America,1.75
All That Jazz,Bob Fosse,United States,724,https://www.criterion.com/films/28561-all-that-jazz,https://s3.amazonaws.com/criterion-production/films/8ee8b30fd8b04c0925a571a6aa83551b/AMKYaHIhWGuRsN3wZvDOZojSyG2ZaD_thumbnail.jpg,1964,1.85:1,Color,"The preternaturally gifted director and choreographer Bob Fosse turned the camera on his own life for this madly imaginative, self-excoriating musical masterpiece. Roy Scheider gives the performance of his career as Joe Gideon, whose exhausting work schedule—mounting a Broadway production by day and editing his latest movie by night—and routine of amphetamines, booze, and sex are putting his health at serious risk. Fosse burrows into Gideon’s (and his own) mind, rendering his interior world as phantasmagoric spectacle. Assembled with visionary editing that makes dance come alive on-screen as never before, and overflowing with sublime footwork by the likes of Ann Reinking, Leland Palmer, and Ben Vereen, All That Jazz pushes the musical genre to personal depths and virtuosic aesthetic heights.",/shop/browse?director=fosse-bob,123,English,US,North America,1.85
All These Women,Ingmar Bergman,Sweden,,https://www.criterion.com/films/27671-all-these-women,https://s3.amazonaws.com/criterion-production/films/a542db89247489d8305dafba6620ad4e/gNegY1fNjIg43C6vk8OCMNf2g1aS35_thumbnail.jpg,1965,1.37:1,Color,"Conceived as an amusing diversion in the wake of Ingmar Bergman’s despairing trilogy, this comedy is the director’s first film in color, and it is an opulent visual feast. Working from a bawdy screenplay he cowrote with actor Erland Josephson, about a supercilious critic drawn into the dizzying orbit of a famous cellist, Bergman brings together buoyant comic turns by a number of his frequent collaborators, including Jarl Kulle, Eva Dahlbeck, Harriet Andersson, and Bibi Andersson. All These Women, in which Bergman pokes fun at the pretensions of drawing-room art, possesses a distinctly playful atmosphere and carefree cadences.",/shop/browse?director=bergman-ingmar,80,Swedish,SE,Europe,1.37
Alphaville,Jean-Luc Godard,France,25,https://www.criterion.com/films/207-alphaville,https://s3.amazonaws.com/criterion-production/films/7053ad19be02c2f5762fcaaa159d2610/zhh3azNCrMn6HnSV8q2KdvWcxgbGyc_thumbnail.jpg,1973,1.33:1,Black & White,"A cockeyed fusion of science fiction, pulp characters, and surrealist poetry, Godard’s irreverent journey to the mysterious Alphaville remains one of the least conventional films of all time. Eddie Constantine stars as intergalactic hero Lemmy Caution, on a mission to kill the inventor of fascist computer Alpha 60.",/shop/browse?director=godard-jean-luc,99,French,FR,Europe,1.33
Amarcord,Federico Fellini,Italy,4,https://www.criterion.com/films/208-amarcord,https://s3.amazonaws.com/criterion-production/films/84514daa31d11ecc8efb89a53abba2f8/u6uT9NDu4YUQGebS2sXinyxWiNLJIp_thumbnail.jpg,,1.85:1,Color,"This carnivalesque portrait of provincial Italy during the fascist period, the most personal film by Federico Fellini, satirizes the director’s youth and turns daily life into a circus of social rituals, adolescent desires, male fantasies, and political subterfuge, all set to Nino Rota’s classic, nostalgia-tinged score. The Academy Award–winning Amarcord remains one of cinema’s enduring treasures.",/shop/browse?director=fellini-federico,123,Italian,IT,Europe,1.85
The American Friend,Wim Wenders,Germany,793,https://www.criterion.com/films/28763-the-american-friend,https://s3.amazonaws.com/criterion-production/films/bfc170fd79de2f1298ae0115534a9594/YIHd0ub4uOeANf4KvdgkkwZFqg0p6D_thumbnail.jpg,1970,1.66:1,Color,"Wim Wenders pays loving homage to rough-and-tumble Hollywood film noir with The American Friend, a loose adaptation of Patricia Highsmith’s novel Ripley’s Game. Dennis Hopper oozes quirky menace as an amoral American art dealer who entangles a terminally ill German everyman, played by Bruno Ganz, in a seedy criminal underworld as revenge for a personal slight—but when the two become embroiled in an ever-deepening murder plot, they form an unlikely bond. Filmed on location in Hamburg and Paris, with some scenes shot in grimy, late-seventies New York City, Wenders’s international breakout is a stripped-down crime story that mixes West German and American film flavors, and it features cameos by filmmakers Jean Eustache, Samuel Fuller, and Nicholas Ray.",/shop/browse?director=wenders-wim,126,"English,                                          French,                                          German",DE,Europe,1.66
The American Soldier,Rainer Werner Fassbinder,Germany,,https://www.criterion.com/films/27951-the-american-soldier,https://s3.amazonaws.com/criterion-production/films/391f3d5266f94d20191230447e42515f/pogiDpUsRlcGFlLqxkT3xmU5S9PF10_thumbnail.jpg,1955,1.33:1,Black & White,"The German-born American GI Ricky (Karl Scheydt) returns to Munich from Vietnam and is promptly hired as a contract killer. Rainer Werner Fassbinder’s experimental noir is a subversive, self-reflexive gangster movie full of unexpected asides and stylistic flourishes, and features an audaciously bonkers final shot and memorable turns from many of the director’s rotating gallery of players.",/shop/browse?director=fassbinder-rainer-werner,80,German,DE,Europe,1.33
Le amiche,Michelangelo Antonioni,Italy,817,https://www.criterion.com/films/28632-le-amiche,https://s3.amazonaws.com/criterion-production/films/58cac693035172b69c7684a7ae929829/dCY15ZqPrfGXF5TJsvMHuivIBO2sEg_thumbnail.jpg,1986,1.37:1,Black & White,"This major early achievement by Michelangelo Antonioni bears the first signs of the cinema-changing style for which he would soon be world-famous. Le amiche (The Girlfriends) is a brilliantly observed, fragmentary depiction of modern bourgeois life, conveyed from the perspective of five Turinese women. As four of the friends try to make sense of the suicide attempt of the fifth, they find themselves examining their own troubled romantic lives. With suggestions of the theme of modern alienation and the fastidious visual abstraction that would define his later masterpieces such as L’avventura, L’eclisse, and Red Desert, Antonioni’s film is a devastating take on doomed love and fraught friendship.
Le amiche was restored by the Cineteca di Bologna at L’Immagine Ritrovata. Restoration funding provided by Gucci and The Film Foundation.",/shop/browse?director=antonioni-michelangelo,106,Italian,IT,Europe,1.37
El amor brujo,Carlos Saura,Spain,,https://www.criterion.com/films/885-el-amor-brujo,https://s3.amazonaws.com/criterion-production/films/383d8a7d40762165ed0eeefb3f475755/7iG3D8YVVdC0EMhYGIyDR8lJaBudTD_thumbnail.jpg,1959,1.66:1,Color,"The Flamenco Trilogy's most straightforward narrative is also its most forthrightly theatrical, a modern take on composer Manuel de Falla's gypsy ballet, dressed up in pink sunsets and hellishly red fires. Set in a dusty Andalusian village, El amor brujo (Love the Magician) is a seductive melodrama of a man (Antonio Gades) whose beloved is haunted by the ghost of another.",/shop/browse?director=saura-carlos,103,Spanish,ES,Europe,1.66
Anatomy of a Murder,Otto Preminger,United States,600,https://www.criterion.com/films/27901-anatomy-of-a-murder,https://s3.amazonaws.com/criterion-production/films/303871dba84408054692162d362e800f/DZ4pikcV8PR878mzRBY3nRygvVnyXH_thumbnail.jpg,2010,1.85:1,Black & White,"A virtuoso James Stewart plays a small-town Michigan lawyer who takes on a difficult case: the defense of a young army lieutenant (Ben Gazzara) accused of murdering a local tavern owner who he believes raped his wife (Lee Remick). This gripping envelope-pusher, the most popular film by Hollywood provocateur Otto Preminger, was groundbreaking for the frankness of its discussion of sex—but more than anything else, it is a striking depiction of the power of words. Featuring an outstanding supporting cast—with a young George C. Scott as a fiery prosecutor and the legendary attorney Joseph N. Welch as the judge—and an influential score by Duke Ellington, Anatomy of a Murder is an American movie landmark, nominated for seven Oscars, including best picture.",/shop/browse?director=preminger-otto,161,English,US,North America,1.85
