ident,type,name,elevation_ft,continent,iso_country,iso_region,municipality,gps_code,iata_code,local_code,longitude,latitude
MMMX,large_airport,Licenciado Benito Juarez International Airport,7316.0,,MX,MX-DIF,Mexico City,MMMX,MEX,ME1,19.4363,-99.072098
MMMY,large_airport,General Mariano Escobedo International Airport,1278.0,,MX,MX-NLE,Monterrey,MMMY,MTY,,25.7784996033,-100.107002258
MMUN,large_airport,Cancún International Airport,22.0,,MX,MX-ROO,Cancún,MMUN,CUN,,21.036500930800003,-86.8770980835
MPTO,large_airport,Tocumen International Airport,135.0,,PA,PA-8,Tocumen,MPTO,PTY,,9.0713596344,-79.3834991455
MRLB,large_airport,Daniel Oduber Quiros International Airport,270.0,,CR,CR-G,Liberia,MRLB,LIR,,10.5933,-85.544403
MSLP,large_airport,Monseñor Óscar Arnulfo Romero International Airport,101.0,,SV,SV-PA,San Salvador (San Luis Talpa),MSLP,SAL,,13.4409,-89.055702
MTPP,medium_airport,Toussaint Louverture International Airport,122.0,,HT,HT-OU,Port-au-Prince,MTPP,PAP,,18.579999923706055,-72.2925033569336
MUHA,large_airport,José Martí International Airport,210.0,,CU,CU-03,Havana,MUHA,HAV,,22.989200592041016,-82.40910339355469
MWCR,large_airport,Owen Roberts International Airport,8.0,,KY,KY-U-A,Georgetown,MWCR,GCM,,19.292800903299998,-81.3576965332
MYNN,large_airport,Lynden Pindling International Airport,16.0,,BS,BS-NP,Nassau,MYNN,NAS,,25.039,-77.466202
OEJN,large_airport,King Abdulaziz International Airport,48.0,AS,SA,SA-02,Jeddah,OEJN,JED,,21.6796,39.156502
OERK,large_airport,King Khaled International Airport,2049.0,AS,SA,SA-01,Riyadh,OERK,RUH,,24.957599639892578,46.69879913330078
OJAI,large_airport,Queen Alia International Airport,2395.0,AS,JO,JO-AM,Amman,OJAI,AMM,,31.7226009369,35.9931983948
OKBK,large_airport,Kuwait International Airport,206.0,AS,KW,KW-FA,Kuwait City,OKBK,KWI,,29.226600646972656,47.96889877319336
OMAA,large_airport,Abu Dhabi International Airport,88.0,AS,AE,AE-AZ,Abu Dhabi,OMAA,AUH,,24.433000564575195,54.651100158691406
OMDB,large_airport,Dubai International Airport,62.0,AS,AE,AE-DU,Dubai,OMDB,DXB,,25.2527999878,55.3643989563
QA-0001,large_airport,Hamad International Airport,13.0,AS,QA,QA-DA,Doha,OTHH,DOH,,25.273056,51.608056
RCTP,large_airport,Taiwan Taoyuan International Airport,106.0,AS,TW,TW-TAO,Taipei,RCTP,TPE,,25.0777,121.233002
RJAA,large_airport,Narita International Airport,141.0,AS,JP,JP-12,Tokyo,RJAA,NRT,,35.7647018433,140.386001587
RJTT,large_airport,Tokyo Haneda International Airport,35.0,AS,JP,JP-13,Tokyo,RJTT,HND,,35.552299,139.779999
RKSI,large_airport,Incheon International Airport,23.0,AS,KR,KR-28,Seoul,RKSI,ICN,,37.46910095214844,126.45099639892578
RPLL,large_airport,Ninoy Aquino International Airport,75.0,AS,PH,PH-U-A,Manila,RPLL,MNL,,14.5086,121.019997
SAEZ,large_airport,Ministro Pistarini International Airport,67.0,SA,AR,AR-B,Buenos Aires,SAEZ,EZE,EZE,-34.8222,-58.5358
SBGL,large_airport,Rio Galeão – Tom Jobim International Airport,28.0,SA,BR,BR-RJ,Rio De Janeiro,SBGL,GIG,,-22.8099994659,-43.2505569458
SBGR,large_airport,Guarulhos - Governador André Franco Montoro International Airport,2459.0,SA,BR,BR-SP,São Paulo,SBGR,GRU,,-23.435556411743164,-46.47305679321289
SCEL,large_airport,Comodoro Arturo Merino Benítez International Airport,1555.0,SA,CL,CL-RM,Santiago,SCEL,SCL,,-33.393001556396484,-70.78579711914062
SEGU,medium_airport,José Joaquín de Olmedo International Airport,19.0,SA,EC,EC-G,Guayaquil,SEGU,GYE,,-2.1574199199699997,-79.88359832760001
SEQM,large_airport,Mariscal Sucre International Airport,7841.0,SA,EC,EC-P,Quito,SEQM,UIO,UIO,-0.129166666667,-78.3575
SKBO,large_airport,El Dorado International Airport,8361.0,SA,CO,CO-CUN,Bogota,SKBO,BOG,BOG,4.70159,-74.1469
SKCG,medium_airport,Rafael Nuñez International Airport,4.0,SA,CO,CO-BOL,Cartagena,SKCG,CTG,CTG,10.4424,-75.513
SKRG,medium_airport,Jose Maria Córdova International Airport,6955.0,SA,CO,CO-ANT,Medellín,SKRG,MDE,MDE,6.16454,-75.4231
SPIM,large_airport,Jorge Chávez International Airport,113.0,SA,PE,PE-LIM,Lima,SPJC,LIM,,-12.0219,-77.114305
SVMI,large_airport,Simón Bolívar International Airport,234.0,SA,VE,VE-X,Caracas,SVMI,CCS,,10.601194,-66.991222
SYCJ,medium_airport,Cheddi Jagan International Airport,95.0,SA,GY,GY-DE,Georgetown,SYCJ,GEO,SYGT,6.498549938201904,-58.25410079956055
TAPA,medium_airport,V.C. Bird International Airport,62.0,,AG,AG-03,St. John's,TAPA,ANU,,17.1367,-61.792702
TBPB,medium_airport,Sir Grantley Adams International Airport,169.0,,BB,BB-01,Bridgetown,TBPB,BGI,,13.0746002197,-59.4925003052
TFFF,medium_airport,Martinique Aimé Césaire International Airport,16.0,,MQ,MQ-U-A,Fort-de-France,TFFF,FDF,,14.590999603271484,-61.00320053100586
TFFR,large_airport,Pointe-à-Pitre Le Raizet,36.0,,GP,GP-U-A,Pointe-à-Pitre,TFFR,PTP,,16.265301,-61.531799
TGPY,medium_airport,Point Salines International Airport,41.0,,GD,GD-GE,Saint George's,TGPY,GND,,12.004199981689453,-61.78620147705078
TKPK,medium_airport,Robert L. Bradshaw International Airport,170.0,,KN,KN-U-A,Basseterre,TKPK,SKB,,17.311199188232422,-62.71870040893555
TLPL,medium_airport,Hewanorra International Airport,14.0,,LC,LC-11,Vieux Fort,TLPL,UVF,,13.7332,-60.952599
TNCA,medium_airport,Queen Beatrix International Airport,60.0,,AW,AW-U-A,Oranjestad,TNCA,AUA,,12.5014,-70.015198
TNCC,medium_airport,Hato International Airport,29.0,,CW,CW-U-A,Willemstad,TNCC,CUR,,12.1889,-68.959801
TNCM,large_airport,Princess Juliana International Airport,13.0,,SX,SX-U-A,Saint Martin,TNCM,SXM,,18.041000366200002,-63.1088981628
TR-0043,large_airport,Istanbul Airport,325.0,AS,TR,TR-34,Istanbul,LTFM,IST,,41.275278,28.751944
TTCP,medium_airport,Tobago-Crown Point Airport,38.0,,TT,TT-WTO,Scarborough,TTCP,TAB,,11.149700164794922,-60.83219909667969
TTPP,medium_airport,Piarco International Airport,58.0,,TT,TT-TUP,Port of Spain,TTPP,POS,,10.595399856567383,-61.33720016479492
TVSA,medium_airport,Argyle International Airport,136.0,,VC,VC-U-A,Kingstown,TVSA,SVD,,13.156695,-61.149945
TXKF,medium_airport,L.F. Wade International International Airport,12.0,,BM,BM-U-A,Hamilton,TXKF,BDA,,32.36399841308594,-64.67870330810547
UBBB,large_airport,Heydar Aliyev International Airport,10.0,AS,AZ,AZ-BA,Baku,UBBB,GYD,,40.467498779296875,50.04669952392578
UKBB,large_airport,Boryspil International Airport,427.0,EU,UA,UA-32,Kiev,UKBB,KBP,,50.345001220703125,30.894699096679688
UTTT,large_airport,Tashkent International Airport,1417.0,AS,UZ,UZ-TO,Tashkent,UTTT,TAS,,41.257900238,69.2811965942
UUEE,large_airport,Sheremetyevo International Airport,622.0,EU,RU,RU-MOS,Moscow,UUEE,SVO,,55.972599,37.4146
VABB,large_airport,Chhatrapati Shivaji International Airport,39.0,AS,IN,IN-MM,Mumbai,VABB,BOM,,19.0886993408,72.8678970337
VHHH,large_airport,Hong Kong International Airport,28.0,AS,HK,HK-U-A,Hong Kong,VHHH,HKG,,22.308901,113.915001
VIDP,large_airport,Indira Gandhi International Airport,777.0,AS,IN,IN-DL,New Delhi,VIDP,DEL,,28.5665,77.103104
ZBAA,large_airport,Beijing Capital International Airport,116.0,AS,CN,CN-11,Beijing,ZBAA,PEK,,40.080101013183594,116.58499908447266
ZGGG,large_airport,Guangzhou Baiyun International Airport,50.0,AS,CN,CN-44,Guangzhou,ZGGG,CAN,,23.39240074157715,113.29900360107422
ZSFZ,large_airport,Fuzhou Changle International Airport,46.0,AS,CN,CN-35,Fuzhou,ZSFZ,FOC,,25.935100555419922,119.66300201416016
ZSPD,large_airport,Shanghai Pudong International Airport,13.0,AS,CN,CN-31,Shanghai,ZSPD,PVG,,31.143400192260742,121.80500030517578
ZUCK,large_airport,Chongqing Jiangbei International Airport,1365.0,AS,CN,CN-50,Chongqing,ZUCK,CKG,,29.719200134277344,106.64199829101562
ZUUU,large_airport,Chengdu Shuangliu International Airport,1625.0,AS,CN,CN-51,Chengdu,ZUUU,CTU,,30.578500747680664,103.9469985961914
