                                                                                                                                                                                                                                                          ,,,,,,,
"Source: USCIS, data as of Nov. 30, 2018. Notes: All data is based on petitions approved during the fiscal year for both initial employment and continuing employment. Petitions approved in a fiscal year may be filed in previous fiscal years. Per USCIS best practices, units of less than 10 beneficiaries are masked to limit the possibility of the de-anonymization of data. ""D"" represents data withheld to protect privacy. The letter ""H"" replaces the value from which one could deduce the value of ""D"". While some company names may appear multiple times, USCIS does not combine companies even where the names are the same because in all cases the employer tax identification numbers are different. Missing Education means the USCIS electronic data storage system does not capture the education field. Median salary is based on data reported by the petitioner in the petition and may include part-time employment or may be reported inaccurately. Because USCIS data systems do not include hours worked, we are unable to identify salaries earned from part-time employment. Instead of the required degree, a beneficiary may qualify based on a combination of education, training, and/or progressively responsible experience in the specialty that is equivalent to the completion of such a degree, and recognition of expertise in the specialty through progressively responsible positions directly related to the specialty. We excluded employers without tax identification numbers in our system. The H-1B petition may be used to sponsor an alien currently in a different nonimmigrant classification, or with no classification if outside the U.S., for an initial period of H-1B employment (see “initial employment” column below), or to extend or change the authorized stay of an alien currently in H-1B status (see “continuing employment” column below). An employer may file an H-1B petition to sponsor an alien who currently has H-1B nonimmigrant status working for another employer or to amend a previously approved petition; these petitions are counted in the “continuing employment” column below. Initial employment includes both cap-subject and cap-exempt petitions.",,,,,,,
Employer Tax ID     (Last 4 Digits),Employer Name, Number of Beneficiaries ,,, Median Salary , Beneficiary Degree/Dipolma ,
 , ,   ,   ,   ,   , Doctorate ,13
7984,BLOOMBERG LP,226,465,691,"149,000", Master's ,459
 , ,   ,   ,   ,   , Bachelor's ,184
 , ,   ,   ,   ,   , Doctorate , H 
 , ,   ,   ,   ,   , Professional Degree , D 
7441,UBER TECHNOLOGIES INC,157,533,690,"148,275", Master's ,529
 , ,   ,   ,   ,   , Bachelor's ,105
 , ,   ,   ,   ,   , Doctorate , H 
 , ,   ,   ,   ,   , Professional Degree , D 
8324,PRICEWATERHOUSECOOPERS LLP,127,561,688,"90,000", Master's ,485
 , ,   ,   ,   ,   , Bachelor's ,193
 , ,   ,   ,   ,   , Doctorate , D 
 , ,   ,   ,   ,   , Professional Degree , D 
1374,HEXAWARE TECHNOLOGIES INC,152,514,666,"85,000", Bachelor's ,464
 , ,   ,   ,   ,   , Master's ,202
7033,SYNECHRON INC,147,498,645,"89,000", Bachelor's ,427
 , ,   ,   ,   ,   , Master's , H 
 , ,   ,   ,   ,   , Some College , D 
487,PAYPAL INC,128,511,639,"140,000", Master's ,420
 , ,   ,   ,   ,   , Bachelor's ,211
 , ,   ,   ,   ,   , Doctorate , D 
 , ,   ,   ,   ,   , Some College , D 
7549,NVIDIA CORPORATION,163,471,634,"150,000", Master's ,476
 , ,   ,   ,   ,   , Bachelor's ,105
 , ,   ,   ,   ,   , Doctorate ,53
7166,NTT DATA INC,128,499,627,"96,200", Bachelor's ,421
 , ,   ,   ,   ,   , Master's ,206
5715,ANTHEM INC,49,568,617,"99,807", Bachelor's ,334
 , ,   ,   ,   ,   , Master's , H 
 , ,   ,   ,   ,   , Doctorate , D 
4661,KFORCE INC,101,508,609,"104,998", Bachelor's ,370
 , ,   ,   ,   ,   , Master's ,237
 , ,   ,   ,   ,   , Doctorate , D 
 , ,   ,   ,   ,   , High School , D 
6778,CGI TECHNOLOGIES AND SOLUTIONS INC,99,490,589,"92,250", Bachelor's ,318
 , ,   ,   ,   ,   , Master's , H 
 , ,   ,   ,   ,   , Doctorate , D 
8880,GOLDMAN SACHS & CO LLC,195,379,574,"120,000", Master's ,297
 , ,   ,   ,   ,   , Bachelor's ,242
 , ,   ,   ,   ,   , Doctorate , H 
 , ,   ,   ,   ,   , Professional Degree , D 
3497,AMERICAN EXPRESS TRAVEL RELATED,56,513,569,"114,444", Bachelor's ,384
 , ,   ,   ,   ,   , Master's , H 
 , ,   ,   ,   ,   , Doctorate , D 
924,EBAY INC,79,482,561,"150,000", Master's ,377
 , ,   ,   ,   ,   , Bachelor's ,172
 , ,   ,   ,   ,   , Doctorate , D 
 , ,   ,   ,   ,   , Associate Degree , D 
 , ,   ,   ,   ,   , Some College , D 
2913,VMWARE INC,102,457,559,"138,000", Master's ,419
 , ,   ,   ,   ,   , Bachelor's ,128
 , ,   ,   ,   ,   , Doctorate ,12
389,CAPITAL ONE SERVICES LLC,88,470,558,"112,754", Master's ,293
 , ,   ,   ,   ,   , Bachelor's ,253
 , ,   ,   ,   ,   , Doctorate ,12
5207,KPMG LLP,115,421,536,"92,200", Master's ,372
 , ,   ,   ,   ,   , Bachelor's ,152
 , ,   ,   ,   ,   , Doctorate , D 
 , ,   ,   ,   ,   , Professional Degree , D 
3900,SYNTEL CONSULTING INC,108,419,527,"65,000", Bachelor's ,343
 , ,   ,   ,   ,   , Master's , H 
 , ,   ,   ,   ,   , High School , D 
4484,A2Z DEVELOPMENT CTR INC D/B/A LAB1,145,375,520,"140,390", Master's ,366
 , ,   ,   ,   ,   , Bachelor's ,132
 , ,   ,   ,   ,   , Doctorate , H 
 , ,   ,   ,   ,   , Professional Degree , D 
7105,COMPUNNEL SOFTWARE GROUP INC,21,484,505,"86,700", Bachelor's ,266
 , ,   ,   ,   ,   , Master's ,237
 , ,   ,   ,   ,   , Doctorate , D 
 , ,   ,   ,   ,   , Some College , D 
5755,COMCAST CABLE COMMUNICATIONS LLC,67,429,496,"115,000", Master's ,310
 , ,   ,   ,   ,   , Bachelor's ,172
 , ,   ,   ,   ,   , Some College , D 
 , ,   ,   ,   ,   , Doctorate , D 
9522,ADOBE SYSTEMS INCORPORATED,149,339,488,"146,112", Master's ,334
 , ,   ,   ,   ,   , Bachelor's ,140
 , ,   ,   ,   ,   , Doctorate ,14
6361,MORGAN STANLEY SERVICES GROUP INC,126,305,431,"125,000", Master's ,244
 , ,   ,   ,   ,   , Bachelor's ,178
 , ,   ,   ,   ,   , Doctorate , D 
 , ,   ,   ,   ,   , Professional Degree , D 
 , ,   ,   ,   ,   , High School , D 
6944,CERNER CORPORATION,132,295,427,"78,000", Master's ,392
 , ,   ,   ,   ,   , Bachelor's , H 
 , ,   ,   ,   ,   , Doctorate , D 
7729,TESLA INC,128,293,421,"115,000", Master's ,305
 , ,   ,   ,   ,   , Bachelor's ,103
 , ,   ,   ,   ,   , Doctorate ,13
4661,INTUIT INC,86,319,405,"136,191", Master's ,283
 , ,   ,   ,   ,   , Bachelor's , H 
 , ,   ,   ,   ,   , Doctorate , D 
18,VISA TECHNOLOGY & OPERATIONS LLC,105,298,403,"120,000", Master's ,243
 , ,   ,   ,   ,   , Bachelor's , H 
 , ,   ,   ,   ,   , Doctorate , D 
6365,THE LELAND STANFORD JR UNIVERSITY,209,190,399,"73,000", Doctorate ,282
 , ,   ,   ,   ,   , Master's ,54
 , ,   ,   ,   ,   , Professional Degree ,36
 , ,   ,   ,   ,   , Bachelor's , H 
 , ,   ,   ,   ,   , Associate Degree , D 
6161,MCKINSEY & COMPANY INC US,213,176,389,"152,250", Master's ,292
 , ,   ,   ,   ,   , Bachelor's ,64
 , ,   ,   ,   ,   , Doctorate ,31
 , ,   ,   ,   ,   , Missing Education , D 
 , ,   ,   ,   ,   , Professional Degree , D 
6470,CITIBANK NA,81,307,388,"119,750", Master's ,233
 , ,   ,   ,   ,   , Bachelor's ,140
 , ,   ,   ,   ,   , Doctorate ,15
4017,KPIT INFOSYSTEMS INCORPORATED,82,302,384,"76,700", Bachelor's ,260
 , ,   ,   ,   ,   , Master's ,122
 , ,   ,   ,   ,   , Doctorate , D 
 , ,   ,   ,   ,   , High School , D 
1325,POLARIS CONSULTING & SERVICES LTD,14,359,373,"92,000", Bachelor's ,208
 , ,   ,   ,   ,   , Master's ,165
6945,CSC COVANSYS CORPORATION,53,311,364,"80,000", Bachelor's ,202
 , ,   ,   ,   ,   , Master's ,162
2798,AMERICAN AIRLINES INC,63,299,362,"104,000", Master's ,212
 , ,   ,   ,   ,   , Bachelor's , H 
 , ,   ,   ,   ,   , Doctorate , D 
3155,OATH HOLDINGS INC,123,238,361,"128,000", Master's ,284
 , ,   ,   ,   ,   , Bachelor's ,58
 , ,   ,   ,   ,   , Doctorate ,19
5772,DELOITTE TAX LLP,121,239,360,"75,000", Master's ,177
 , ,   ,   ,   ,   , Bachelor's ,173
 , ,   ,   ,   ,   , Professional Degree , D 
 , ,   ,   ,   ,   , Doctorate , D 
6083,EXPEDIA INC,84,254,338,"120,000", Master's ,229
 , ,   ,   ,   ,   , Bachelor's ,101
 , ,   ,   ,   ,   , Doctorate , D 
 , ,   ,   ,   ,   , Professional Degree , D 
9337,HCL GLOBAL SYSTEMS INC,13,310,323,"99,840", Master's ,225
 , ,   ,   ,   ,   , Bachelor's ,98
6309,UNIVERSITY OF MICHIGAN,178,141,319,"57,147", Doctorate ,239
 , ,   ,   ,   ,   , Master's ,41
 , ,   ,   ,   ,   , Professional Degree , H 
 , ,   ,   ,   ,   , Bachelor's , D 
3600,T MOBILE USA INC,44,273,317,"120,249", Master's ,177
 , ,   ,   ,   ,   , Bachelor's , H 
 , ,   ,   ,   ,   , Associate Degree , D 
7445,STATE STREET BANK & TRUST COMPANY,34,280,314,"115,000", Master's ,183
 , ,   ,   ,   ,   , Bachelor's ,128
 , ,   ,   ,   ,   , Doctorate , D 
 , ,   ,   ,   ,   , Professional Degree , D 
3222,GENERAL MOTORS COMPANY,127,185,312,"96,000", Master's ,223
 , ,   ,   ,   ,   , Bachelor's ,72
 , ,   ,   ,   ,   , Doctorate , H 
 , ,   ,   ,   ,   , Professional Degree , D 
547,NIIT TECHNOLOGIES LIMITED,45,257,302,"82,452", Bachelor's ,188
 , ,   ,   ,   ,   , Master's ,114
648,SAPIENT CORPORATION,19,283,302,"122,785", Bachelor's ,176
 , ,   ,   ,   ,   , Master's ,126
235,THE MATHWORKS INC,129,172,301,"97,000", Master's ,237
 , ,   ,   ,   ,   , Doctorate ,42
 , ,   ,   ,   ,   , Bachelor's ,22
1702,MAYO CLINIC,141,152,293,"61,982", Professional Degree ,147
 , ,   ,   ,   ,   , Doctorate ,104
 , ,   ,   ,   ,   , Master's , H 
 , ,   ,   ,   ,   , Bachelor's , D 
3382,MASTECH DIGITAL TECHS INC A MASTEC,24,268,292,"103,688", Bachelor's ,200
 , ,   ,   ,   ,   , Master's , H 
 , ,   ,   ,   ,   , Doctorate , D 
6583,HTC GLOBAL SERVICES INC, D ,282, H ,"87,000", Bachelor's ,194
 , ,   ,   ,   ,   , Master's ,97
3126,COMPUTER SCIENCES CORPORATION,143,142,285,"72,010", Bachelor's ,197
 , ,   ,   ,   ,   , Master's ,88
9461,PROKARMA INC,19,259,278,"110,000", Bachelor's ,139
 , ,   ,   ,   ,   , Master's ,139
7419,GOLDMAN SACHS SERVICES LLC,105,173,278,"116,200", Master's ,149
 , ,   ,   ,   ,   , Bachelor's , H 
 , ,   ,   ,   ,   , Doctorate , D 
8624,HEWLETT PACKARD ENTERPRISE COMPANY,46,228,274,"141,103", Master's ,185
 , ,   ,   ,   ,   , Bachelor's , H 
 , ,   ,   ,   ,   , Doctorate , D 
6104,EPAM SYSTEMS INC,106,166,272,"100,000", Master's ,155
 , ,   ,   ,   ,   , Bachelor's , H 
 , ,   ,   ,   ,   , Doctorate , D 
6236,SYNOPSYS INC,43,225,268,"126,250", Master's ,188
 , ,   ,   ,   ,   , Bachelor's ,58
 , ,   ,   ,   ,   , Doctorate ,22
8108,WAYFAIR LLC,102,162,264,"105,000", Master's ,200
 , ,   ,   ,   ,   , Bachelor's , H 
 , ,   ,   ,   ,   , Doctorate , D 
4398,BARCLAYS SERVICES CORP,57,206,263,"130,000", Master's ,142
 , ,   ,   ,   ,   , Bachelor's ,113
 , ,   ,   ,   ,   , Doctorate , D 
 , ,   ,   ,   ,   , Professional Degree , D 
6287,MARLABS INC,106,155,261,"72,300", Master's ,212
 , ,   ,   ,   ,   , Bachelor's , H 
 , ,   ,   ,   ,   , Doctorate , D 
8857,NOKIA OF AMERICA CORPORATION,71,190,261,"111,000", Master's ,151
 , ,   ,   ,   ,   , Bachelor's , H 
 , ,   ,   ,   ,   , Doctorate , D 
3911,HEADSTRONG SERVICES LLC,28,232,260,"98,088", Bachelor's ,166
 , ,   ,   ,   ,   , Master's ,94
3454,OPTUM SERVICES INC,22,236,258,"106,788", Master's ,155
 , ,   ,   ,   ,   , Bachelor's , H 
 , ,   ,   ,   ,   , Doctorate , D 
899,TARGET ENTERPRISE INC,21,229,250,"115,000", Master's ,137
 , ,   ,   ,   ,   , Bachelor's , H 
 , ,   ,   ,   ,   , Doctorate , D 
511,UNIVERSITY OF ILLINOIS AT CHICAGO,122,125,247,"65,790", Doctorate ,165
 , ,   ,   ,   ,   , Professional Degree ,38
 , ,   ,   ,   ,   , Master's , H 
 , ,   ,   ,   ,   , Bachelor's , D 
4954,PERSISTENT SYSTEMS INC,18,226,244,"93,720", Bachelor's ,181
 , ,   ,   ,   ,   , Master's ,63
6789,GLOBALLOGIC INC,25,214,239,"115,000", Bachelor's ,150
 , ,   ,   ,   ,   , Master's ,89
2300,ADVANCED MICRO DEVICES INC,94,144,238,"115,438", Master's ,179
 , ,   ,   ,   ,   , Bachelor's ,35
 , ,   ,   ,   ,   , Doctorate ,24
6041,SAP AMERICA INC,64,174,238,"120,000", Bachelor's ,150
 , ,   ,   ,   ,   , Master's , H 
 , ,   ,   ,   ,   , Doctorate , D 
5969,NTT DATA SERVICES LLC,72,163,235,"97,214", Bachelor's ,152
 , ,   ,   ,   ,   , Master's , H 
 , ,   ,   ,   ,   , Doctorate , D 
3183,MEDTRONIC INC,40,194,234,"99,980", Master's ,180
 , ,   ,   ,   ,   , Bachelor's ,40
 , ,   ,   ,   ,   , Doctorate ,14
6650,CREDIT SUISSE SECURITIES USA LLC,71,160,231,"120,400", Master's ,114
 , ,   ,   ,   ,   , Bachelor's ,112
 , ,   ,   ,   ,   , Doctorate , D 
 , ,   ,   ,   ,   , Professional Degree , D 
7213,CHARTER COMMUNICATIONS INC,41,188,229,"110,000", Master's ,131
 , ,   ,   ,   ,   , Bachelor's ,96
 , ,   ,   ,   ,   , Doctorate , D 
 , ,   ,   ,   ,   , Some College , D 
9021,POPULUS GROUP LLC,86,142,228,"90,000", Master's ,145
 , ,   ,   ,   ,   , Bachelor's ,81
 , ,   ,   ,   ,   , Doctorate , D 
 , ,   ,   ,   ,   , Professional Degree , D 
6378,MASTERCARD INTERNATIONAL INC,29,198,227,"110,000", Master's ,117
 , ,   ,   ,   ,   , Bachelor's , H 
 , ,   ,   ,   ,   , Doctorate , D 
3200,STATE UNIV OF NEW YORK AT BUFFALO,126,99,225,"68,811", Doctorate ,155
 , ,   ,   ,   ,   , Professional Degree ,36
 , ,   ,   ,   ,   , Master's , H 
 , ,   ,   ,   ,   , Bachelor's , D 
8004,MICRON TECHNOLOGY INC,78,146,224,"99,851", Master's ,142
 , ,   ,   ,   ,   , Bachelor's ,43
 , ,   ,   ,   ,   , Doctorate ,39
8826,GENPACT LLC,30,193,223,"89,301", Bachelor's ,116
 , ,   ,   ,   ,   , Master's ,107
6691,BLACKROCK FINANCIAL MANAGEMENT INC,100,123,223,"105,000", Master's ,142
 , ,   ,   ,   ,   , Bachelor's ,73
 , ,   ,   ,   ,   , Doctorate , D 
 , ,   ,   ,   ,   , Professional Degree , D 
1864,SYMANTEC CORPORATION,10,212,222,"131,508", Master's ,122
 , ,   ,   ,   ,   , Bachelor's ,100
8017,FEDEX CORPORATE SERVICES INC,107,112,219,"80,211", Master's ,176
 , ,   ,   ,   ,   , Bachelor's , H 
 , ,   ,   ,   ,   , Doctorate , D 
4941,FUJITSU AMERICA INC,38,180,218,"82,823", Bachelor's ,135
 , ,   ,   ,   ,   , Master's ,83
2528,JUNIPER NETWORKS INC,29,187,216,"135,465", Master's ,140
 , ,   ,   ,   ,   , Bachelor's ,73
 , ,   ,   ,   ,   , Doctorate , D 
 , ,   ,   ,   ,   , Associate Degree , D 
482,BROADCOM CORPORATION,44,171,215,"137,280", Master's ,137
 , ,   ,   ,   ,   , Bachelor's ,60
 , ,   ,   ,   ,   , Doctorate ,18
3525,COLLABERA INC,73,138,211,"83,200", Bachelor's ,115
 , ,   ,   ,   ,   , Master's , H 
 , ,   ,   ,   ,   , Some College , D 
8093,COLUMBIA UNIVERSITY,128,82,210,"70,000", Doctorate ,156
 , ,   ,   ,   ,   , Master's ,25
 , ,   ,   ,   ,   , Professional Degree , H 
 , ,   ,   ,   ,   , Bachelor's , D 
7272,NETFLIX INC,11,197,208,"350,000", Master's ,147
 , ,   ,   ,   ,   , Bachelor's ,45
 , ,   ,   ,   ,   , Doctorate , H 
 , ,   ,   ,   ,   , Professional Degree , D 
7524,MANAGEMENT HEALTH SYSTEMS LLC DBA,15,193,208,"56,576", Bachelor's ,202
 , ,   ,   ,   ,   , Master's , D 
 , ,   ,   ,   ,   , Doctorate , D 
5110,JOHNS HOPKINS UNIVERSITY,113,95,208,"62,098", Doctorate ,134
 , ,   ,   ,   ,   , Professional Degree ,39
 , ,   ,   ,   ,   , Master's ,35
6195,SERVICENOW INC,38,170,208,"128,431", Master's ,134
 , ,   ,   ,   ,   , Bachelor's , H 
 , ,   ,   ,   ,   , Doctorate , D 
7971,BARCLAYS SERVICES LLC,16,191,207,"118,800", Master's ,121
 , ,   ,   ,   ,   , Bachelor's ,86
